loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'loss': 3.9304, 'grad_norm': 75.85023498535156, 'learning_rate': 4.999955240022902e-05, 'epoch': 0.1}
{'eval_loss': 1.0087900161743164, 'eval_map': 0.4319, 'eval_map_50': 0.6766, 'eval_map_75': 0.4851, 'eval_map_small': 0.3879, 'eval_map_medium': 0.3482, 'eval_map_large': 0.4513, 'eval_mar_1': 0.378, 'eval_mar_10': 0.6838, 'eval_mar_100': 0.7135, 'eval_mar_small': 0.425, 'eval_mar_medium': 0.5422, 'eval_mar_large': 0.7339, 'eval_map_Coverall': 0.595, 'eval_mar_100_Coverall': 0.7619, 'eval_map_Face_Shield': 0.3191, 'eval_mar_100_Face_Shield': 0.6727, 'eval_map_Gloves': 0.436, 'eval_mar_100_Gloves': 0.7308, 'eval_map_Goggles': 0.284, 'eval_mar_100_Goggles': 0.6951, 'eval_map_Mask': 0.5255, 'eval_mar_100_Mask': 0.7068, 'eval_runtime': 7.0273, 'eval_samples_per_second': 21.061, 'eval_steps_per_second': 2.704, 'epoch': 5.0}
{'loss': 0.8628, 'grad_norm': 26.186054229736328, 'learning_rate': 4.875319210133004e-05, 'epoch': 5.05}
{'loss': 0.946, 'grad_norm': 20.93388557434082, 'learning_rate': 4.870611278218066e-05, 'epoch': 5.14}
{'loss': 0.754, 'grad_norm': 21.190227508544922, 'learning_rate': 4.865818459497911e-05, 'epoch': 5.24}
{'loss': 0.843, 'grad_norm': 14.919378280639648, 'learning_rate': 4.860940925593703e-05, 'epoch': 5.33}
{'loss': 0.8566, 'grad_norm': 14.523077011108398, 'learning_rate': 4.8559788511600876e-05, 'epoch': 5.43}
{'loss': 0.7802, 'grad_norm': 79.25731658935547, 'learning_rate': 4.850932413878934e-05, 'epoch': 5.52}
{'loss': 0.8165, 'grad_norm': 17.330524444580078, 'learning_rate': 4.8458017944529776e-05, 'epoch': 5.62}
{'loss': 0.8504, 'grad_norm': 12.654813766479492, 'learning_rate': 4.8405871765993433e-05, 'epoch': 5.71}
{'loss': 0.8608, 'grad_norm': 21.107099533081055, 'learning_rate': 4.8352887470429726e-05, 'epoch': 5.81}
{'loss': 0.738, 'grad_norm': 29.45777130126953, 'learning_rate': 4.8299066955099335e-05, 'epoch': 5.9}
{'loss': 0.8761, 'grad_norm': 23.02916145324707, 'learning_rate': 4.8244412147206284e-05, 'epoch': 6.0}
{'eval_loss': 0.9424995183944702, 'eval_map': 0.459, 'eval_map_50': 0.6848, 'eval_map_75': 0.5371, 'eval_map_small': 0.5262, 'eval_map_medium': 0.3626, 'eval_map_large': 0.4814, 'eval_mar_1': 0.4059, 'eval_mar_10': 0.6991, 'eval_mar_100': 0.7267, 'eval_mar_small': 0.525, 'eval_mar_medium': 0.5994, 'eval_mar_large': 0.7431, 'eval_map_Coverall': 0.6194, 'eval_mar_100_Coverall': 0.7888, 'eval_map_Face_Shield': 0.3372, 'eval_mar_100_Face_Shield': 0.6922, 'eval_map_Gloves': 0.4458, 'eval_mar_100_Gloves': 0.7348, 'eval_map_Goggles': 0.3367, 'eval_mar_100_Goggles': 0.7, 'eval_map_Mask': 0.5559, 'eval_mar_100_Mask': 0.7178, 'eval_runtime': 7.235, 'eval_samples_per_second': 20.456, 'eval_steps_per_second': 2.626, 'epoch': 6.0}
{'loss': 0.6824, 'grad_norm': 19.060901641845703, 'learning_rate': 4.8188925003828945e-05, 'epoch': 6.1}
{'loss': 0.8881, 'grad_norm': 17.71425437927246, 'learning_rate': 4.813260751184992e-05, 'epoch': 6.19}
{'loss': 0.7688, 'grad_norm': 32.80184555053711, 'learning_rate': 4.807546168788494e-05, 'epoch': 6.29}
{'loss': 0.7421, 'grad_norm': 25.474361419677734, 'learning_rate': 4.8017489578210604e-05, 'epoch': 6.38}
{'loss': 0.7491, 'grad_norm': 18.62566375732422, 'learning_rate': 4.7958693258691167e-05, 'epoch': 6.48}
{'loss': 0.7888, 'grad_norm': 20.258686065673828, 'learning_rate': 4.7899074834704165e-05, 'epoch': 6.57}
{'loss': 0.8803, 'grad_norm': 23.49507713317871, 'learning_rate': 4.783863644106502e-05, 'epoch': 6.67}
{'loss': 0.773, 'grad_norm': 19.383800506591797, 'learning_rate': 4.7777380241950645e-05, 'epoch': 6.76}
{'loss': 0.7456, 'grad_norm': 23.38536262512207, 'learning_rate': 4.7715308430821864e-05, 'epoch': 6.86}
{'loss': 0.7523, 'grad_norm': 19.019765853881836, 'learning_rate': 4.765242323034498e-05, 'epoch': 6.95}
{'eval_loss': 0.907075822353363, 'eval_map': 0.4799, 'eval_map_50': 0.7048, 'eval_map_75': 0.556, 'eval_map_small': 0.6272, 'eval_map_medium': 0.3675, 'eval_map_large': 0.5045, 'eval_mar_1': 0.4007, 'eval_mar_10': 0.7152, 'eval_mar_100': 0.7455, 'eval_mar_small': 0.625, 'eval_mar_medium': 0.5863, 'eval_mar_large': 0.7647, 'eval_map_Coverall': 0.6318, 'eval_mar_100_Coverall': 0.7949, 'eval_map_Face_Shield': 0.3587, 'eval_mar_100_Face_Shield': 0.7182, 'eval_map_Gloves': 0.5088, 'eval_mar_100_Gloves': 0.7407, 'eval_map_Goggles': 0.2925, 'eval_mar_100_Goggles': 0.7279, 'eval_map_Mask': 0.6078, 'eval_mar_100_Mask': 0.7457, 'eval_runtime': 7.4106, 'eval_samples_per_second': 19.971, 'eval_steps_per_second': 2.564, 'epoch': 7.0}
{'loss': 0.7803, 'grad_norm': 15.05666732788086, 'learning_rate': 4.758872689231208e-05, 'epoch': 7.05}
{'loss': 0.7375, 'grad_norm': 15.54996109008789, 'learning_rate': 4.752422169756048e-05, 'epoch': 7.14}
{'loss': 0.7334, 'grad_norm': 30.3033390045166, 'learning_rate': 4.745890995589101e-05, 'epoch': 7.24}
{'loss': 0.7513, 'grad_norm': 35.30967330932617, 'learning_rate': 4.7392794005985326e-05, 'epoch': 7.33}
{'loss': 0.7955, 'grad_norm': 21.81195068359375, 'learning_rate': 4.732587621532214e-05, 'epoch': 7.43}
{'loss': 0.7659, 'grad_norm': 16.82766342163086, 'learning_rate': 4.725815898009247e-05, 'epoch': 7.52}
{'loss': 0.7438, 'grad_norm': 18.639978408813477, 'learning_rate': 4.718964472511386e-05, 'epoch': 7.62}
{'loss': 0.785, 'grad_norm': 14.551280975341797, 'learning_rate': 4.712033590374346e-05, 'epoch': 7.71}
{'loss': 0.7469, 'grad_norm': 14.886974334716797, 'learning_rate': 4.705023499779031e-05, 'epoch': 7.81}
{'loss': 0.6741, 'grad_norm': 19.89160919189453, 'learning_rate': 4.6979344517426345e-05, 'epoch': 7.9}
{'loss': 0.6262, 'grad_norm': 16.155715942382812, 'learning_rate': 4.690766700109659e-05, 'epoch': 8.0}
{'eval_loss': 0.8719209432601929, 'eval_map': 0.5041, 'eval_map_50': 0.7259, 'eval_map_75': 0.5876, 'eval_map_small': 0.5757, 'eval_map_medium': 0.3589, 'eval_map_large': 0.5312, 'eval_mar_1': 0.4253, 'eval_mar_10': 0.7279, 'eval_mar_100': 0.7586, 'eval_mar_small': 0.575, 'eval_mar_medium': 0.6071, 'eval_mar_large': 0.7758, 'eval_map_Coverall': 0.6708, 'eval_mar_100_Coverall': 0.8093, 'eval_map_Face_Shield': 0.4222, 'eval_mar_100_Face_Shield': 0.726, 'eval_map_Gloves': 0.5018, 'eval_mar_100_Gloves': 0.7502, 'eval_map_Goggles': 0.2998, 'eval_mar_100_Goggles': 0.7525, 'eval_map_Mask': 0.6259, 'eval_mar_100_Mask': 0.7548, 'eval_runtime': 7.1598, 'eval_samples_per_second': 20.671, 'eval_steps_per_second': 2.654, 'epoch': 8.0}
{'loss': 0.7341, 'grad_norm': 28.2141056060791, 'learning_rate': 4.6835205015428246e-05, 'epoch': 8.1}
{'loss': 0.6635, 'grad_norm': 16.334300994873047, 'learning_rate': 4.676196115513876e-05, 'epoch': 8.19}
{'loss': 0.7091, 'grad_norm': 24.373023986816406, 'learning_rate': 4.668793804294294e-05, 'epoch': 8.29}
{'loss': 0.7214, 'grad_norm': 15.331332206726074, 'learning_rate': 4.661313832945904e-05, 'epoch': 8.38}
{'loss': 0.6775, 'grad_norm': 16.83823585510254, 'learning_rate': 4.653756469311381e-05, 'epoch': 8.48}
{'loss': 0.6929, 'grad_norm': 21.456281661987305, 'learning_rate': 4.6461219840046654e-05, 'epoch': 8.57}
{'loss': 0.7245, 'grad_norm': 88.2866439819336, 'learning_rate': 4.638410650401267e-05, 'epoch': 8.67}
{'loss': 0.6553, 'grad_norm': 18.789018630981445, 'learning_rate': 4.6306227446284775e-05, 'epoch': 8.76}
{'loss': 0.755, 'grad_norm': 26.206308364868164, 'learning_rate': 4.622758545555485e-05, 'epoch': 8.86}
{'loss': 0.7017, 'grad_norm': 30.000349044799805, 'learning_rate': 4.614818334783384e-05, 'epoch': 8.95}
{'eval_loss': 0.8495351672172546, 'eval_map': 0.5049, 'eval_map_50': 0.7248, 'eval_map_75': 0.6, 'eval_map_small': 0.6775, 'eval_map_medium': 0.3702, 'eval_map_large': 0.5322, 'eval_mar_1': 0.4164, 'eval_mar_10': 0.7102, 'eval_mar_100': 0.741, 'eval_mar_small': 0.7, 'eval_mar_medium': 0.5754, 'eval_mar_large': 0.7597, 'eval_map_Coverall': 0.666, 'eval_mar_100_Coverall': 0.8228, 'eval_map_Face_Shield': 0.3665, 'eval_mar_100_Face_Shield': 0.6545, 'eval_map_Gloves': 0.5486, 'eval_mar_100_Gloves': 0.7878, 'eval_map_Goggles': 0.3411, 'eval_mar_100_Goggles': 0.7197, 'eval_map_Mask': 0.6023, 'eval_mar_100_Mask': 0.7201, 'eval_runtime': 7.3934, 'eval_samples_per_second': 20.018, 'eval_steps_per_second': 2.57, 'epoch': 9.0}
{'loss': 0.6435, 'grad_norm': 15.325054168701172, 'learning_rate': 4.606802396635098e-05, 'epoch': 9.05}
{'loss': 0.6185, 'grad_norm': 15.599425315856934, 'learning_rate': 4.598711018145193e-05, 'epoch': 9.14}
{'loss': 0.609, 'grad_norm': 50.23107147216797, 'learning_rate': 4.590544489049602e-05, 'epoch': 9.24}
{'loss': 0.6579, 'grad_norm': 43.381446838378906, 'learning_rate': 4.5823031017752485e-05, 'epoch': 9.33}
{'loss': 0.6989, 'grad_norm': 14.700427055358887, 'learning_rate': 4.5739871514295786e-05, 'epoch': 9.43}
{'loss': 0.7047, 'grad_norm': 21.06060791015625, 'learning_rate': 4.5655969357899874e-05, 'epoch': 9.52}
{'loss': 0.6764, 'grad_norm': 22.21637725830078, 'learning_rate': 4.5571327552931645e-05, 'epoch': 9.62}
{'loss': 0.7605, 'grad_norm': 15.031277656555176, 'learning_rate': 4.54859491302433e-05, 'epoch': 9.71}
{'loss': 0.7327, 'grad_norm': 12.8626708984375, 'learning_rate': 4.5399837147063825e-05, 'epoch': 9.81}
{'loss': 0.6804, 'grad_norm': 18.419960021972656, 'learning_rate': 4.531299468688955e-05, 'epoch': 9.9}
{'loss': 0.7047, 'grad_norm': 14.682221412658691, 'learning_rate': 4.522542485937369e-05, 'epoch': 10.0}
{'eval_loss': 0.8649852871894836, 'eval_map': 0.5079, 'eval_map_50': 0.7458, 'eval_map_75': 0.5806, 'eval_map_small': 0.5565, 'eval_map_medium': 0.3987, 'eval_map_large': 0.529, 'eval_mar_1': 0.4181, 'eval_mar_10': 0.7006, 'eval_mar_100': 0.7312, 'eval_mar_small': 0.6, 'eval_mar_medium': 0.5786, 'eval_mar_large': 0.749, 'eval_map_Coverall': 0.6587, 'eval_mar_100_Coverall': 0.8116, 'eval_map_Face_Shield': 0.3837, 'eval_mar_100_Face_Shield': 0.6273, 'eval_map_Gloves': 0.5625, 'eval_mar_100_Gloves': 0.7819, 'eval_map_Goggles': 0.3385, 'eval_mar_100_Goggles': 0.7066, 'eval_map_Mask': 0.5964, 'eval_mar_100_Mask': 0.7288, 'eval_runtime': 7.2451, 'eval_samples_per_second': 20.428, 'eval_steps_per_second': 2.622, 'epoch': 10.0}
{'loss': 0.6816, 'grad_norm': 23.981075286865234, 'learning_rate': 4.5137130800215025e-05, 'epoch': 10.1}
{'loss': 0.6169, 'grad_norm': 17.03725814819336, 'learning_rate': 4.50481156710456e-05, 'epoch': 10.19}
{'loss': 0.6716, 'grad_norm': 48.566261291503906, 'learning_rate': 4.495838265931754e-05, 'epoch': 10.29}
{'loss': 0.6445, 'grad_norm': 20.079593658447266, 'learning_rate': 4.486793497818889e-05, 'epoch': 10.38}
{'loss': 0.6356, 'grad_norm': 17.293901443481445, 'learning_rate': 4.477677586640854e-05, 'epoch': 10.48}
{'loss': 0.6322, 'grad_norm': 52.356388092041016, 'learning_rate': 4.4684908588200304e-05, 'epoch': 10.57}
{'loss': 0.6955, 'grad_norm': 23.659770965576172, 'learning_rate': 4.4592336433146e-05, 'epoch': 10.67}
{'loss': 0.6584, 'grad_norm': 27.054471969604492, 'learning_rate': 4.449906271606766e-05, 'epoch': 10.76}
{'loss': 0.6834, 'grad_norm': 29.929397583007812, 'learning_rate': 4.440509077690883e-05, 'epoch': 10.86}
{'loss': 0.665, 'grad_norm': 16.27438735961914, 'learning_rate': 4.431042398061499e-05, 'epoch': 10.95}
{'eval_loss': 0.8720519542694092, 'eval_map': 0.5034, 'eval_map_50': 0.7302, 'eval_map_75': 0.5839, 'eval_map_small': 0.6262, 'eval_map_medium': 0.3598, 'eval_map_large': 0.5315, 'eval_mar_1': 0.4294, 'eval_mar_10': 0.7098, 'eval_mar_100': 0.7392, 'eval_mar_small': 0.625, 'eval_mar_medium': 0.5463, 'eval_mar_large': 0.7596, 'eval_map_Coverall': 0.6548, 'eval_mar_100_Coverall': 0.8005, 'eval_map_Face_Shield': 0.4105, 'eval_mar_100_Face_Shield': 0.6974, 'eval_map_Gloves': 0.5249, 'eval_mar_100_Gloves': 0.7638, 'eval_map_Goggles': 0.3433, 'eval_mar_100_Goggles': 0.7361, 'eval_map_Mask': 0.5837, 'eval_mar_100_Mask': 0.6982, 'eval_runtime': 7.4256, 'eval_samples_per_second': 19.931, 'eval_steps_per_second': 2.559, 'epoch': 11.0}
{'loss': 0.6607, 'grad_norm': 15.385025024414062, 'learning_rate': 4.421506571701305e-05, 'epoch': 11.05}
{'loss': 0.6616, 'grad_norm': 16.596166610717773, 'learning_rate': 4.4119019400689967e-05, 'epoch': 11.14}
{'loss': 0.6112, 'grad_norm': 19.938365936279297, 'learning_rate': 4.402228847087047e-05, 'epoch': 11.24}
{'loss': 0.6293, 'grad_norm': 18.45022964477539, 'learning_rate': 4.3924876391293915e-05, 'epoch': 11.33}
{'loss': 0.6504, 'grad_norm': 16.32630729675293, 'learning_rate': 4.382678665009028e-05, 'epoch': 11.43}
{'loss': 0.6231, 'grad_norm': 12.801200866699219, 'learning_rate': 4.372802275965521e-05, 'epoch': 11.52}
{'loss': 0.7205, 'grad_norm': 20.98573112487793, 'learning_rate': 4.3628588256524285e-05, 'epoch': 11.62}
{'loss': 0.6202, 'grad_norm': 15.983097076416016, 'learning_rate': 4.3528486701246376e-05, 'epoch': 11.71}
{'loss': 0.597, 'grad_norm': 15.684499740600586, 'learning_rate': 4.3427721678256125e-05, 'epoch': 11.81}
{'loss': 0.5733, 'grad_norm': 12.340683937072754, 'learning_rate': 4.332629679574566e-05, 'epoch': 11.9}
{'loss': 0.6278, 'grad_norm': 18.793188095092773, 'learning_rate': 4.3224215685535294e-05, 'epoch': 12.0}
{'eval_loss': 0.7993335723876953, 'eval_map': 0.5351, 'eval_map_50': 0.7546, 'eval_map_75': 0.6323, 'eval_map_small': 0.6631, 'eval_map_medium': 0.3908, 'eval_map_large': 0.5622, 'eval_mar_1': 0.4335, 'eval_mar_10': 0.7359, 'eval_mar_100': 0.7658, 'eval_mar_small': 0.725, 'eval_mar_medium': 0.5904, 'eval_mar_large': 0.785, 'eval_map_Coverall': 0.6855, 'eval_mar_100_Coverall': 0.8121, 'eval_map_Face_Shield': 0.4121, 'eval_mar_100_Face_Shield': 0.7039, 'eval_map_Gloves': 0.5665, 'eval_mar_100_Gloves': 0.7932, 'eval_map_Goggles': 0.3806, 'eval_mar_100_Goggles': 0.7525, 'eval_map_Mask': 0.6308, 'eval_mar_100_Mask': 0.7676, 'eval_runtime': 6.8923, 'eval_samples_per_second': 21.473, 'eval_steps_per_second': 2.757, 'epoch': 12.0}
{'loss': 0.5576, 'grad_norm': 17.360172271728516, 'learning_rate': 4.312148200294355e-05, 'epoch': 12.1}
{'loss': 0.581, 'grad_norm': 10.340291976928711, 'learning_rate': 4.301809942665625e-05, 'epoch': 12.19}
{'loss': 0.5917, 'grad_norm': 13.184046745300293, 'learning_rate': 4.2914071658594805e-05, 'epoch': 12.29}
{'loss': 0.6079, 'grad_norm': 15.184127807617188, 'learning_rate': 4.2809402423783624e-05, 'epoch': 12.38}
{'loss': 0.6098, 'grad_norm': 10.213727951049805, 'learning_rate': 4.2704095470216744e-05, 'epoch': 12.48}
{'loss': 0.6199, 'grad_norm': 11.962315559387207, 'learning_rate': 4.2598154568723626e-05, 'epoch': 12.57}
{'loss': 0.6051, 'grad_norm': 10.352418899536133, 'learning_rate': 4.249158351283414e-05, 'epoch': 12.67}
{'loss': 0.6112, 'grad_norm': 21.27259635925293, 'learning_rate': 4.2384386118642694e-05, 'epoch': 12.76}
{'loss': 0.5729, 'grad_norm': 14.13222885131836, 'learning_rate': 4.227656622467162e-05, 'epoch': 12.86}
{'loss': 0.5823, 'grad_norm': 11.953193664550781, 'learning_rate': 4.2168127691733706e-05, 'epoch': 12.95}
